FID,AREA,PERIMETER,HCAD_OLD,HCAD_NUMBE,CCAD_OLD,CCAD_NUMBE,ADR_OLD,ADR_NOW,ADR_NUM,ADR_FRAC,ADR_PREFIX,ADR_STREET,ADR_TYPE,ADR_SUF,ADR_BLDG_I,ADR_UNIT,ADR_CITY,ADR_STATE,ADR_ZIP,ADR_COUNTY,FLOOR_ID,TOTAL_FLOO,TOTAL_UNIT,COM_NAME,FAC_NAME,BUS_NAME,BUS_TYPE,BUS_TYPE2,REST_TYPE,REST,ZONING,YEAR_BUILT,USE_DESCR,JURISDICTI,JURISDIC_1,LABEL1,LABEL2,LABEL3,LABEL4,DATE_MOD1,DATE_MOD2,EDITOR,SOURCE_ID,COMMENT,USER_FLAG1,USER_FLAG2,RECORD_ID,X_COORD,Y_COORD,Z_COORD,Subdivisio,Sub_Sectio,Sub_Lots,created_us,created_da,last_edite,last_edi_1,Sub_Block,GC_Dist,Voter_prec,FEATURE,File_Name,CP,Unique_ID,created__1,created__2,last_edi_2,last_edi_3,LIFECYCLE,PostalCode,geometry,,x,y
11301,0,0,NA,NA,NA,NA, ,2109 N ALEXANDER DR,2109, ,N,ALEXANDER,DR, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,COMMERCIAL,RESTAURANT,MI PARRILLADA, , ,mexican,,MU, , ,BAYTOWN,6,2109, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,7,0533,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0011405, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77520-3432,c(3253067.38508738, 13840239.2039679),-10569912.69,3470663.92
4141,0,0,NA,NA,NA,NA, ,220 W MAIN ST,220, ,W,MAIN,ST, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,RETAIL,GROCERIES,WEST MAIN FOOD STORE, , ,grocery_store,,MU, ,RIZ ZONE,BAYTOWN,2,220, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,2,0248,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0005392, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77520-7541,c(3246145.48988569, 13832134.8702396),-10572437.31,3467892.70
39675,0,0,NA,NA,NA,NA, ,2206 N ALEXANDER DR,2206, ,N,ALEXANDER,DR, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,COMMERCIAL,RESTAURANT,TACO BELL, , ,fast_food,,MU, , ,BAYTOWN,6,2206, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,7,0532,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0038897, ,,ROBERT.AMOS,4/23/21 00:00,ACTIVE, ,c(3253506.35064155, 13840533.3615074),-10569755.22,3470762.21
30639,0,0,NA,NA,NA,NA, ,2210 N ALEXANDER DR,2210, ,N,ALEXANDER,DR, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,COMMERCIAL,RESTAURANT,JACK IN THE BOX,BURGERS, ,fast_food,,MU, , ,BAYTOWN,6,2210, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,7,0532,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0032190, ,,ROBERT.AMOS,4/23/21 00:00,ACTIVE, ,c(3253565.7198649, 13840629.3157506),-10569733.24,3470795.30
4122,0,0,NA,NA,NA,NA, ,224 W TEXAS AVE,224, ,W,TEXAS,AVE, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,RETAIL,BAR,THE DIRTY BAY BEER COMPANY,BAR, ,bar,,ACE, ,RIZ ZONE,BAYTOWN,2,224, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,2,0248,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0005373, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77520-7735,c(3247068.5315133, 13836136.5298409),-10572065.42,3469291.35
5388,0,0,NA,NA,NA,NA,227 S FM 565 RD,231 S FM 565 RD,231, ,S,FM 565,RD, , , ,BAYTOWN,TX,77521,CHAMBERS, ,NA, ,RETAIL,RESTAURANT,BURGER HUT,BURGER, ,fast_food,,GC, , ,BAYTOWN,5,231, , , , ,NA,BOB,BAYTOWN, ,City, ,NA,0,0,0, , , , ,,sde,1/9/15 00:00, ,6,0011,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0005030, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE, ,c(3265331.67458763, 13851430.0580541),-10565475.78,3474457.37
21445,0,0,NA,NA,NA,NA, ,2401 MASSEY TOMPKINS RD,2401, , ,MASSEY TOMPKINS,RD, , , ,BAYTOWN,TX,77521,HARRIS, ,NA, ,RETAIL,STORE,SNACK TIME FOOD MART, , ,grocery_store,,SF2, , ,BAYTOWN,5,2401, , , , ,NA,BOB,BAYTOWN, ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,6,0414,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0021263, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77521-4837,c(3256520.30164905, 13848441.5637955),-10568602.25,3473512.30
50609,0,0,NA,NA,NA,NA, ,2409 N ALEXANDER DR,2409, ,N,ALEXANDER,DR, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,RESTAURANT,MEXICAN,EL CACIQUE TAQUERIA,MEXICAN, ,mexican,,MU, , ,BAYTOWN,6,2409, ,EL CACIQUE TAQUERIA, , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,7,0533,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0052369, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77520-3331,c(3253815.41496413, 13841396.2779584),-10569636.38,3471062.51
4178,0,0,NA,NA,NA,NA, ,2517 MARKET ST,2517, , ,MARKET,ST, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,RETAIL,GROCERIES,C & D GROCERY AND BAKERY, , ,bakery,,GC, ,RIZ ZONE,BAYTOWN,1,2517, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,2,0102,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0005429, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77520-6221,c(3238091.9199655, 13833611.6035497),-10575242.54,3468510.38
4162,0,0,NA,NA,NA,NA, ,2518 WARD RD,2518, , ,WARD,RD, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,COMMERCIAL,GROCERIES,BAYTOWN FOOD MART, , ,grocery_store,,MU, , ,BAYTOWN,6,2518, , , , ,NA,BOB,BAYTOWN, ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,7,0414,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0005413, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77520-5515,c(3258498.28349679, 13839567.4784612),-10568016.87,3470360.81
57679,0,0,NA,NA,NA,NA, ,2651 SH146 BS # A,2651, , ,SH 146, ,BS, ,A,BAYTOWN,TX,77520,HARRIS, ,NA, ,BAR,BAR,O NEALS,CITY OF BAYTOWN, ,bar,,LC, , ,BAYTOWN,1,2651 # A, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,2,0100,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0058318,ROBERT.AMOS,3/22/19 00:00,JACOB.PEARSON,1/29/21 00:00,ACTIVE, ,c(3239136.08178754, 13827134.277454),-10574954.28,3466215.90
14885,0,0,NA,NA,NA,NA, ,2701 N ALEXANDER DR # 1,2701, ,N,ALEXANDER,DR, , ,1,BAYTOWN,TX,77520,HARRIS, ,NA, ,COMMERCIAL,RETAIL SPACE,SUBWAY,RESTAURANT, ,sandwich,,MU, , ,BAYTOWN,6, ,2701 # 1, , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,7,0533,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0015843, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE, ,c(3254281.52393132, 13842103.1558648),-10569464.37,3471305.91
